order_id,customer_name,product,size,price_per_unit,total_price,quantity,order_date
96c242d9-53c4-46b5-a493-ad395a409558,Katherine Wong,Reebok Club C 85,40,367,1468,4,2024-05-12 12:32:24
11a63199-aa6d-415c-9950-440f2aebbf4a,Stefanie Roach,Salomon XT-6,40,371,742,2,2024-03-13 11:31:06
909a8165-8863-48fa-9b0e-efd9205e7ec9,John Chapman,Converse Run Star Hike,42,222,222,1,2024-02-26 03:47:18
f74317f2-8824-4242-8f0e-279482e4dcca,Karen Holt,Adidas Superstar,40,462,462,1,2024-09-23 01:28:37
00756272-96cc-4d9e-9a83-f4a848debfb9,Dana Foster,Nike Blazer Mid '77,43,356,356,1,2024-10-22 17:50:32
df65c587-c804-42b1-936e-55699ea85bba,Carol Soto,Nike Air Jordan 1 Retro,39,185,370,2,2024-09-23 14:40:48
d74c265f-545c-40e5-92bc-403167399bfa,Kristy Dominguez,Nike Air Max 90,36,136,680,5,2024-03-09 17:54:21
5eaf335a-f97a-4cae-9944-c08a072a0757,Hunter Williams,Puma RS-X,41,357,357,1,2024-07-26 23:58:06
227499dc-fc11-4ea4-a99a-a1f50abf41de,Joshua Chavez,Converse Run Star Hike,47,461,1383,3,2024-07-09 21:52:56
2f8ced3e-52e5-43fa-b48e-5dd7de8c4eaa,Kelsey Davis,Nike Dunk Low,41,298,1192,4,2024-06-30 06:39:36
a69421dd-3c4c-461b-a965-53ba176d6c3c,Dr. Yvonne Morris,New Balance 990v5,46,327,981,3,2024-07-22 02:48:56
c4229776-f774-4642-a232-26acd8b29cbd,Kayla Walker,New Balance 990v5,47,330,660,2,2024-03-23 06:58:49
f86eca73-91df-4113-9cdb-7970aa9eb811,Hayden Wyatt,Vans Old Skool,39,184,552,3,2024-03-13 09:44:42
eb56d4ce-1cae-4df6-8eb5-80bf5598df09,Shannon Rogers,Puma RS-X,47,363,1089,3,2024-09-06 12:05:43
e224e028-9407-4ef3-9e28-1f43c06d5990,George Cardenas,Nike Air Jordan 1 Retro,45,173,173,1,2025-01-14 01:13:10
84b819d9-331f-4abf-aab1-1738c8f04f8d,Paul Lee,Adidas NMD R1,43,431,1293,3,2024-07-20 18:07:05
